Coeff;From State;To State
[ -9.26653821e-05,8.56072812e-01];Wake;Wake
[ -1.36246638e-06,9.11088014e-02];Wake;NonREM1
[  6.38500336e-06,2.28771973e-02];Wake;NonREM2
[  2.83320563e-05,8.57244633e-03];Wake;NonREM3
[  3.02291038e-05,1.60743253e-02];Wake;REM
[  6.41728282e-05,1.05575234e-01];NonREM1;Wake
[ -2.71675773e-08,1.98806794e-05  ,-3.84693797e-03,6.46128592e-01];NonREM1;NonREM1
[ -8.80491482e-08,6.31871741e-04];NonREM1;NonREM2
[ -7.18910743e-07,3.12948309e-04];NonREM1;NonREM3
[ -1.51790922e-06,1.88051011e-03];NonREM1;REM
[ -8.64882556e-06,3.88315424e-02];NonREM2;Wake
[ -2.51454400e-04,4.26014635e-01];NonREM2;NonREM1
[  2.47785710e-05,9.45013106e-01];NonREM2;NonREM2
[  9.81832441e-06,2.13887666e-02];NonREM2;NonREM3
[ -5.28637839e-05,2.75471043e-02];NonREM2;REM
[ 0. , 0.];NonREM3;Wake
[  4.37216033e-06 , -3.84769476e-04];NonREM3;NonREM1
[ -5.66690480e-05,2.70466228e-02];NonREM3;NonREM2
[ -3.99915766e-05,9.69083907e-01];NonREM3;NonREM3
[ -1.22290489e-06,4.07258084e-04];NonREM3;REM
[  4.80256644e-05 , -1.54380006e-03];REM;Wake
[  6.17972619e-05,2.25623439e-02];REM;NonREM1
[  1.77282649e-05,5.72088513e-03];REM;NonREM2
[  2.57623936e-06,6.53716062e-04];REM;NonREM3
[  1.24519917e-05,9.58134832e-01];REM;REM
